"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"215","Lostine River Weir",2004,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Lostine River Weir",2004,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA
"217","Lostine River Weir",2004,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Lostine River Weir",2004,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,63,5,NA,NA,NA,NA,NA,NA,NA,5,0,0,5
"219","Lostine River Weir",2004,"Northern Pike Minnow","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Lostine River Weir",2004,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"221","Lostine River Weir",2004,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Lostine River Weir",2005,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Lostine River Weir",2005,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA
"224","Lostine River Weir",2005,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,684,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA
"225","Lostine River Weir",2005,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,56,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"226","Lostine River Weir",2005,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
